time,knee_angle_r,Torque,path_actuator,,Moment arm,,,,Moment arm
0.63,0.64251357,-16.39989959,258.2930801,,-0.04179756,,0.63,-0.04179756,-0.063493376
0.63000562,0.6414804,-16.39972559,258.2897913,,-0.04625761,,0.64265,-0.04625761,-0.063493511
0.63001125,0.64044715,-16.39955165,258.2865025,,-0.05126213,,0.6553,-0.05126213,-0.063493646
0.63003937,0.63527949,-16.39868177,258.2700585,,-0.0565086,,0.66795,-0.0565086,-0.06349432
0.63017998,0.60940679,-16.39433208,258.1878386,,-0.0617289,,0.6806,-0.0617289,-0.063497693
0.63047024,0.55581348,-16.38535094,258.0181069,,-0.06653036,,0.69325,-0.06653036,-0.063504655
0.6307605,0.50197284,-16.37636743,257.8483752,,-0.07063887,,0.7059,-0.07063887,-0.063511618
0.63114427,0.43040983,-16.36448665,257.6239704,,-0.0739894,,0.71855,-0.0739894,-0.063520823
0.63164433,0.33651533,-16.348999,257.3315576,,-0.076608,,0.7312,-0.076608,-0.063532818
0.63234098,0.20451782,-16.32741122,256.924192,,-0.0785701,,0.74385,-0.0785701,-0.063549528
0.63303763,0.07117827,-16.30580982,256.5168264,,-0.07999753,,0.7565,-0.07999753,-0.063566239
0.63400467,-0.11602528,-16.27580172,255.9513501,,-0.08098348,,0.76915,-0.08098348,-0.063589435
0.635,-0.31110815,-16.24488823,255.3693294,,-0.08158652,,0.7818,-0.08158652,-0.06361331
0.63500763,-0.31261324,-16.24277822,255.3354253,,-0.08186038,,0.79445,-0.08186038,-0.063613493
0.63501527,-0.31411845,-16.24066825,255.3015213,,-0.0818389,,0.8071,-0.0818389,-0.063613676
0.63505343,-0.32164653,-16.23011798,255.1320012,,-0.08153966,,0.81975,-0.08153966,-0.063614591
0.63524427,-0.35933643,-16.17736223,254.2844005,,-0.08097455,,0.8324,-0.08097455,-0.063619169
0.63619843,-0.54898533,-15.91346685,250.0463971,,-0.0801586,,0.84505,-0.0801586,-0.063642056
0.63715259,-0.74054568,-15.64937748,245.8083937,,-0.0791019,,0.8577,-0.0791019,-0.063664943
0.63842302,-0.99844067,-15.29745107,240.1656477,,-0.07782155,,0.87035,-0.07782155,-0.063695417
0.63931066,-1.18052175,-15.05135908,236.2231104,,-0.07632081,,0.883,-0.07632081,-0.063716709
0.64,-1.32300229,-14.86012982,233.1613609,,-0.07463096,,0.89565,-0.07463096,-0.063733244
0.6400099,-1.32505561,-14.85814593,233.1293642,,-0.07279938,,0.9083,-0.07279938,-0.063733481
0.6400198,-1.32710913,-14.85616202,233.0973676,,-0.07088533,,0.92095,-0.07088533,-0.063733719
0.64006931,-1.33737966,-14.84624233,232.9373844,,-0.06894928,,0.9336,-0.06894928,-0.063734906
0.64031682,-1.38880573,-14.79663795,232.1374684,,-0.06705337,,0.94625,-0.06705337,-0.063740843
0.64155442,-1.64774029,-14.54847387,228.1378884,,-0.06524399,,0.9589,-0.06524399,-0.063770529
0.64263726,-1.87665178,-14.3311463,224.6384304,,-0.06354936,,0.97155,-0.06354936,-0.063796503
0.6437201,-2.10758754,-14.11363695,221.1389724,,-0.06197757,,0.9842,-0.06197757,-0.063822477
0.64480295,-2.34038601,-13.89594587,217.6395144,,-0.06051612,,0.99685,-0.06051612,-0.063848451
0.645,-2.38293994,-13.85631133,217.0026906,,-0.05915842,,1.0095,-0.05915842,-0.063853178
0.64501457,-2.38608807,-13.85085302,216.916021,,-0.05786998,,1.02215,-0.05786998,-0.063853527
0.64502913,-2.3892365,-13.84539459,216.8293514,,-0.05661497,,1.0348,-0.05661497,-0.063853876
0.64510197,-2.4049833,-13.81810173,216.3960036,,-0.05536632,,1.04745,-0.05536632,-0.063855624
0.64546616,-2.48383118,-13.68161469,214.2292642,,-0.05410641,,1.0601,-0.05410641,-0.063864359
0.6470478,-2.82831445,-13.08842108,204.8192561,,-0.05283574,,1.07275,-0.05283574,-0.063902298
0.64823145,-3.08806587,-12.64402692,197.777108,,-0.0515652,,1.0854,-0.0515652,-0.06393069
0.6494151,-3.34927319,-12.19923288,190.73496,,-0.05031618,,1.09805,-0.05031618,-0.063959082
0.65,-3.47884438,-11.97928844,187.2550539,,-0.04911473,,1.1107,-0.04911473,-0.063973112
0.65001302,-3.48173285,-11.97104921,187.1253482,,-0.04799794,,1.12335,-0.04799794,-0.063973424
0.65002605,-3.48462147,-11.96280994,186.9956426,,-0.04700137,,1.136,-0.04700137,-0.063973736
0.65009116,-3.49906689,-11.92161221,186.3471145,,-0.04614753,,1.14865,-0.04614753,-0.063975298
0.65041673,-3.57134977,-11.71559325,183.104474,,-0.04545964,,1.1613,-0.04545964,-0.063983108
0.65153324,-3.81988019,-11.0086872,171.9841632,,-0.04496185,,1.17395,-0.04496185,-0.064009889
0.65264976,-4.069288,-10.30118555,160.8638523,,-0.04467665,,1.1866,-0.04467665,-0.064036671
0.65403752,-4.3803886,-9.420974698,147.0419975,,-0.04462467,,1.19925,-0.04462467,-0.064069959
0.655,-4.59686496,-8.809960921,137.4558013,,-0.04484046,,1.2119,-0.04484046,-0.064093045
0.65500879,-4.59884578,-8.80268794,137.3418741,,-0.04537419,,1.22455,-0.04537419,-0.064093256
0.65501759,-4.60082666,-8.795414944,137.227947,,-0.04629533,,1.2372,-0.04629533,-0.064093467
0.65506156,-4.61073178,-8.759049144,136.6583112,,-0.04768658,,1.24985,-0.04768658,-0.064094522
0.65528143,-4.66027629,-8.577202183,133.8101322,,-0.04964831,,1.2625,-0.04964831,-0.064099796
0.65617321,-4.8615339,-7.839325313,122.2579568,,-0.0522891,,1.27515,-0.0522891,-0.064121187
0.65706498,-5.06323057,-7.100954193,110.7057815,,-0.05571205,,1.2878,-0.05571205,-0.064142578
0.6580835,-5.29402991,-6.257038777,97.51177281,,-0.06003061,,1.30045,-0.06003061,-0.064167009
0.65910202,-5.52516646,-5.412478674,84.3177641,,-0.06526683,,1.3131,-0.06526683,-0.06419144
0.66,-5.72911223,-4.66733311,72.6851978,,-0.07115998,,1.32575,-0.07115998,-0.064212979
0.6600098,-5.73133891,-4.6586948,72.5504063,,-0.07738665,,1.3384,-0.07738665,-0.064213214
0.6600196,-5.73356559,-4.650056428,72.41561481,,-0.08373735,,1.35105,-0.08373735,-0.06421345
